APT;Additional;Annotator;Difficulty;FailureReasons;FormatCorrect;Group;Index;Kind;Original;Paraphrase;annotation_id;annotator.1;created_at;id;lead_time;type;updated_at
Derivational Changes;;4;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;3012;2;Saddam loyalists have been blamed for sabotaging the nation's infrastructure, as well as frequent attacks on U.S. soldiers.;Saddam loyalists are accused of sabotaging the country's infrastructure, in addition to frequently attacking U.S. soldiers.;286;15;24.01.2024 12:24;228;221952;;24.01.2024 12:24
Derivational Changes;;5;Easy;;Yes;;3013;4;Saddam loyalists have been blamed for sabotaging the nation's infrastructure, as well as frequent attacks on U.S. soldiers.;Saddam loyalists have been the blame for sabotaging the nation's infrastructure, as well as frequent attacks on U.S. soldiers.;191;13;23.01.2024 17:28;229;3903;"[{""start"":27,""end"":36,""text"":""the blame"",""labels"":[""APT""]}]";23.01.2024 17:28
Derivational Changes;Others;6;Easy;;Yes;;3014;1;Saddam loyalists have been blamed for sabotaging the nation's infrastructure, as well as frequent attacks on U.S. soldiers.; Saddam loyalists have been blamed for sabotaging the nation's infrastructure, as well as attacking U.S. soldiers frequently.;85;8;23.01.2024 12:12;230;169125;"[{""start"":90,""end"":99,""text"":""attacking"",""labels"":[""APT""]},{""start"":114,""end"":124,""text"":""frequently"",""labels"":[""APT""]}]";23.01.2024 12:12
Derivational Changes;;3;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;3020;0;"""It's amazing to be part of an industry that rewards its young,"" said Hernandez, who is a recent graduate of Parsons School of Design.";"""It's amazing to be a part of an industry that rewards its young,"" said Hernandez, who is a recent graduate of Parsons School of Design.";446;18;26.01.2024 19:30;231;59604;;26.01.2024 19:30
Derivational Changes;"{""choices"":[""Structure-based Changes"",""Others""]}";4;Hard;;Yes;;3021;3;"""It's amazing to be part of an industry that rewards its young,"" said Hernandez, who is a recent graduate of Parsons School of Design.";"""This really reinforces the fact that I'm part of an industry that rewards its young,"" Hernandez said.";289;15;24.01.2024 12:26;232;119386;"[{""start"":1,""end"":41,""text"":""This really reinforces the fact that I'm"",""labels"":[""APT""]}]";24.01.2024 12:26
Derivational Changes;Morpho- and Lexicon-based Changes;5;Easy;;No;;3022;2;"""It's amazing to be part of an industry that rewards its young,"" said Hernandez, who is a recent graduate of Parsons School of Design.";According to Hernandez, who recently graduated from Parsons School of Design, it's incredible to be involved in an industry that recognizes its youth;192;13;23.01.2024 17:31;233;132108;"[{""start"":22,""end"":45,""text"":""According to Hernandez,"",""labels"":[""APT""]},{""start"":50,""end"":73,""text"":""recently graduated from"",""labels"":[""APT""]}]";23.01.2024 17:31
Derivational Changes;;6;Hard;otherchange;Yes;"{""choices"":[""Structure-based Changes"",""Others""]}";3023;4;"""It's amazing to be part of an industry that rewards its young,"" said Hernandez, who is a recent graduate of Parsons School of Design.";"""It's amazing to be part of an industry that rewards its young,"" said Hernandez, who is a recent graduate of Parsons School of Design, and the industry rewards its young.";86;8;23.01.2024 12:13;234;101966;;23.01.2024 12:13
Derivational Changes;;7;Easy;;Yes;;3024;1;"""It's amazing to be part of an industry that rewards its young,"" said Hernandez, who is a recent graduate of Parsons School of Design.";" ""It's amazing to be part of an industry that rewards its youths,"" said Hernandez, who is a recent graduate of Parsons School of Design.";402;17;24.01.2024 20:18;235;4878;"[{""start"":58,""end"":66,""text"":""youths,\"""",""labels"":[""APT""]}]";29.01.2024 14:09
Derivational Changes;;4;Easy;;Yes;;3030;0;The search was concentrated in northeast Pennsylvania, but State Police Trooper Tom Kelly acknowledged that Selenski could have traveled hundreds of miles by now.; The search was focused in northeast Pennsylvania, but State Police Trooper Tom Kelly acknowledged that Selenski may have traveled hundreds of miles by now.;291;15;24.01.2024 12:28;236;96408;"[{""start"":16,""end"":23,""text"":""focused"",""labels"":[""APT""]},{""start"":113,""end"":116,""text"":""may"",""labels"":[""APT""]}]";24.01.2024 12:28
Derivational Changes;;5;Hard;otherchange;Yes;Semantic-based Changes;3031;3;The search was concentrated in northeast Pennsylvania, but State Police Trooper Tom Kelly acknowledged that Selenski could have traveled hundreds of miles by now.;The search was concentrated in northeast Pennsylvania, but troopers now believe that Selenski could have traveled hundreds of miles by now.;194;13;23.01.2024 17:33;237;108198;;23.01.2024 17:33
Inflectional Changes;;2;Easy;otherchange;No;Morpho- and Lexicon-based Changes;5092;2;We are declaring war on sexual harassment and sexual assault.;We are declaring war on sexual harassment and assault.;254;14;24.01.2024 11:05;318;8377;;24.01.2024 11:05
Derivational Changes;;7;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;3033;4;The search was concentrated in northeast Pennsylvania, but State Police Trooper Tom Kelly acknowledged that Selenski could have traveled hundreds of miles by now.;The search was concentrated in northeast Pennsylvania, but State Police Trooper Tom Kelly acknowledged that Selenski could have concentrated travel hundreds of miles by now.;435;17;26.01.2024 16:54;239;1634464;;26.01.2024 16:54
Derivational Changes;;8;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;3034;1;The search was concentrated in northeast Pennsylvania, but State Police Trooper Tom Kelly acknowledged that Selenski could have traveled hundreds of miles by now.; The search was concentrated in northeast Pennsylvania, but State Police Trooper Tom Kelly acknowledged that Selenski could have traveled hundreds of miles by this time.;561;20;30.01.2024 10:54;240;22393;;30.01.2024 11:02
Derivational Changes;;5;Easy;;Yes;;3040;0;From California, Bush flies to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.;From California, Bush will fly to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia, and Australia before returning home on Oct. 24.;195;13;23.01.2024 17:34;241;56823;"[{""start"":22,""end"":30,""text"":""will fly"",""labels"":[""APT""]}]";23.01.2024 17:34
Derivational Changes;;6;Easy;otherchange;Yes;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Others""]}";3041;3;From California, Bush flies to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.;From California, Bush to Japan - then the Philippines, Thailand, Singapore, Indonesia and Australia before returning home Oct. 24.;88;8;23.01.2024 12:19;242;69616;;23.01.2024 12:19
Syntheticanalytic substitution;;10;Hard;otherchange;No;"{""choices"":[""Structure-based Changes"",""Others""]}";12072;2;Comcast Class A shares were up 8 cents at $30.50 in morning trading on the Nasdaq Stock Market.;Comcast Class A shares were trading at $30.50 on the Nasdaq Stock Market in the morning, up by 8 cents.;297;11;24.01.2024 12:30;664;149882;;24.01.2024 12:30
Derivational Changes;;8;Easy;;Yes;;3043;4;From California, Bush flies to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.;From California, Bush takes a flight to Japan on Thursday, followed by visits in the Philippines, Thailand, Singapore, Indonesia, and Australia before returning home on Oct. 24.;562;20;30.01.2024 10:54;244;51713;"[{""start"":30,""end"":36,""text"":""flight"",""labels"":[""APT""]}]";30.01.2024 10:54
Change of order;;5;Easy;;No;;1072;2;The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.;For all residents with taxable incomes above $500,000, the top rate will go to 4.45 percent.;185;13;23.01.2024 17:24;189;19786;"[{""start"":76,""end"":112,""text"":""the top rate will go to 4.45 percent"",""labels"":[""APT""]}]";23.01.2024 17:24
Derivational Changes;;6;Easy;Identical sentences;Yes;;3050;0;The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe.; The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe.;89;8;23.01.2024 12:20;246;33006;;23.01.2024 12:20
Derivational Changes;;7;Hard;otherchange;Yes;Others;3051;3;The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe.;"With Geode, the software supports .NET and J2EE infrastructure development for SOAs; without Geode, it supports development but requires configuration by the user.";403;17;24.01.2024 20:20;247;84328;;25.01.2024 14:45
Subordination and nesting changes;Structure-based Changes;15;Hard;;No;;11072;2;His plan would cost more than $200 billion annually, which Gephardt would pay for by repealing Bush's tax cuts.;Gephardt would pay for his plan, which would cost more than $200 billion annually, by repealing Bush's tax cuts.;163;2;23.01.2024 17:06;614;1,15522E+16;"[{""start"":54,""end"":103,""text"":""which would cost more than $200 billion annually,"",""labels"":[""APT""]}]";23.01.2024 17:06
Same Polarity Substitution (contextual);;12;Hard;Other;No;;8042;2;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He informed The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in their thoughts when they chose to seek asylum.;533;19;29.01.2024 20:38;412;62835;;29.01.2024 20:38
Derivational Changes;;10;Easy;Identical sentences;Yes;;3054;1;The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe.; The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe.;134;11;23.01.2024 16:36;250;75044;;23.01.2024 16:36
Derivational Changes;;7;Easy;otherchange;Yes;Others;3060;0;Representatives for Puretunes could not immediately be reached for comment Wednesday.;Representatives for Puretunes could not be immediately reached for comment on Wednesday.;404;17;24.01.2024 20:21;251;51939;;25.01.2024 14:46
Derivational Changes;;8;Hard;otherchange;Yes;"{""choices"":[""Semantic-based Changes"",""Others""]}";3061;3;Representatives for Puretunes could not immediately be reached for comment Wednesday.;A representative for Puretunes was not immediately available for comment.;564;20;30.01.2024 10:58;252;99664;;30.01.2024 11:19
Semantic based;Morpho- and Lexicon-based Changes;7;Hard;;No;;9042;2;Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted.;Sales - a number closely monitored as an indicator of its well-being - increased by 5 percent rather than declining, as predicted by many industry experts.;431;17;26.01.2024 16:24;481;113166;"[{""start"":29,""end"":89,""text"":""a number closely monitored as an indicator of its well-being"",""labels"":[""APT""]},{""start"":92,""end"":101,""text"":""increased"",""labels"":[""APT""]},{""start"":127,""end"":137,""text"":""declining,"",""labels"":[""APT""]}]";26.01.2024 16:24
Derivational Changes;;10;Easy;Nonsense;Yes;;3063;4;Representatives for Puretunes could not immediately be reached for comment Wednesday.;Representatives for Puretunes could not immediately be reached and commented Wednesday.;136;11;23.01.2024 16:38;254;137538;;23.01.2024 16:38
Derivational Changes;;11;Easy;;Yes;;3064;1;Representatives for Puretunes could not immediately be reached for comment Wednesday.; Representatives for Puretunes could not be immediately reached for comment Wednesday.;482;10;27.01.2024 15:16;255;124098;;27.01.2024 15:16
Derivational Changes;;8;Easy;otherchange;Yes;Semantic-based Changes;3070;0;Another brother, Ali Imron, was sentenced to life in prison after cooperating with investigators and showing remorse.; Another brother, Ali Imron, received a life sentence after cooperating with investigators and expressing remorse.;565;20;30.01.2024 11:03;256;1,98781E+16;;30.01.2024 11:19
Derivational Changes;;3;Easy;;No;;3002;2;She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality.;She made an estimation that it would take three months and would involve cancelling a sub-audit of the Department of Environmental Quality.;444;18;26.01.2024 19:23;223;361084;"[{""start"":25,""end"":48,""text"":""made an estimation that"",""labels"":[""APT""]}]";26.01.2024 19:23
Same Polarity Substitution (contextual);Morpho- and Lexicon-based Changes;13;Easy;;No;;8052;2;"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, wished the guidelines would result in a more ""just and fair"" service for infertility sufferers.";196;12;23.01.2024 17:36;417;285944;"[{""start"":83,""end"":89,""text"":""wished"",""labels"":[""APT""]},{""start"":111,""end"":120,""text"":""result in"",""labels"":[""APT""]},{""start"":128,""end"":133,""text"":""\""just"",""labels"":[""APT""]}]";23.01.2024 17:36
Derivational Changes;;11;Easy;;Yes;;3073;4;Another brother, Ali Imron, was sentenced to life in prison after cooperating with investigators and showing remorse.;Another brother, Ali Imron, was sentenced to life imprisoning, cooperating with investigators and showing remorse.;483;10;27.01.2024 15:17;259;78717;;27.01.2024 15:17
Derivational Changes;;12;Easy;otherchange;Yes;Others;3074;1;Another brother, Ali Imron, was sentenced to life in prison after cooperating with investigators and showing remorse.; Another brother, Ali Imron, was sentenced to a life in prison after cooperating with investigators and showing remorse.;521;19;29.01.2024 20:27;260;72368;;29.01.2024 20:27
AdditionDeletion;Structure-based Changes;10;Easy;Other;No;;72;2;"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young, of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for individuals suffering from infertility.";131;11;23.01.2024 16:32;139;5,94166E+15;"[{""start"":159,""end"":170,""text"":""individuals"",""labels"":[""APT""]},{""start"":181,""end"":185,""text"":""from"",""labels"":[""APT""]}]";23.01.2024 16:32
Derivational Changes;;10;Hard;otherchange;Yes;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Structure-based Changes"",""Semantic-based Changes""]}";3081;3;"However, the standards body warns that changes to Internet Explorer may affect a ""large number"" of existing Web sites.";"What is not included is specific support for other de facto data interchange standards, a move that would affect a ""large number"" of Web sites, the W3C said.";140;11;23.01.2024 16:47;262;341512;;23.01.2024 16:47
Derivational Changes;"{""choices"":[""Structure-based Changes"",""Semantic-based Changes""]}";11;Hard;;Yes;;3082;2;"However, the standards body warns that changes to Internet Explorer may affect a ""large number"" of existing Web sites.";"However, the standards body cautions that modifications to Internet Explorer have the potential to impact a ""significant amount"" of pre-existing websites.";484;10;27.01.2024 15:18;263;167199;;27.01.2024 15:21
Derivational Changes;;12;Easy;;Yes;;3083;4;"However, the standards body warns that changes to Internet Explorer may affect a ""large number"" of existing Web sites.";However, the standards body warns that changes to Internet Explorer may affect numerous existing Web sites.;522;19;29.01.2024 20:28;264;56593;"[{""start"":79,""end"":87,""text"":""numerous"",""labels"":[""APT""]}]";29.01.2024 20:28
Derivational Changes;;13;Easy;;Yes;;3084;1;"However, the standards body warns that changes to Internet Explorer may affect a ""large number"" of existing Web sites.";" However, the standards body warns that changes to Internet Explorer may affect a ""large number"" of Web sites that already exist.";155;12;23.01.2024 16:59;265;97939;"[{""start"":110,""end"":129,""text"":""that already exist."",""labels"":[""APT""]}]";23.01.2024 16:59
Derivational Changes;;10;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;3090;0;Beckham will receive a yearly salary of $10 million plus bonuses, earning him about $220,000 a game.; Beckham will receive an annual salary of $10 million plus bonuses, earning him approximately $220,000 per game.;141;11;23.01.2024 16:48;266;77798;;23.01.2024 16:48
Derivational Changes;;11;Easy;Nonsense;Yes;;3091;3;Beckham will receive a yearly salary of $10 million plus bonuses, earning him about $220,000 a game.;Beckham's salary will be $5.2 million, which is $220,000 per game.;485;10;27.01.2024 15:23;267;127526;;27.01.2024 15:23
Derivational Changes;;12;Easy;;Yes;;3092;2;Beckham will receive a yearly salary of $10 million plus bonuses, earning him about $220,000 a game.;Beckham will receive a yearly salary of $10 million plus bonuses, earning him approximately $220,000 per game.;523;19;29.01.2024 20:29;268;42219;"[{""start"":101,""end"":104,""text"":""per"",""labels"":[""APT""]}]";29.01.2024 20:29
Derivational Changes;;13;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;3093;4;Beckham will receive a yearly salary of $10 million plus bonuses, earning him about $220,000 a game.;Beckham will receive an annually salary of $10 million plus bonuses, earning about $220,000 a game.;161;12;23.01.2024 17:04;269;257923;;23.01.2024 17:04
Derivational Changes;;14;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;3094;1;Beckham will receive a yearly salary of $10 million plus bonuses, earning him about $220,000 a game.; Beckham will receive a yearly salary of $10 million plus bonuses, earning him approximately $220,000 per game.;365;16;24.01.2024 15:52;270;314459;;24.01.2024 15:52
Inflectional Changes;;6;Easy;;Yes;;5000;0;The company has said it plans to restate its earnings for 2000 through 2002.; The company has said it planned to restate its earnings for 2000 through 2002.;91;8;23.01.2024 12:22;271;53923;"[{""start"":25,""end"":32,""text"":""planned"",""labels"":[""APT""]}]";23.01.2024 12:22
Inflectional Changes;;7;Easy;;Yes;;5001;3;The company has said it plans to restate its earnings for 2000 through 2002.;Martha Stewart Living has said it will restate its earnings for 2000 through 2002.;405;17;24.01.2024 20:22;272;39511;"[{""start"":0,""end"":21,""text"":""Martha Stewart Living"",""labels"":[""APT""]}]";25.01.2024 14:46
Inflectional Changes;;8;;otherchange;Yes;Morpho- and Lexicon-based Changes;5002;2;The company has said it plans to restate its earnings for 2000 through 2002.;The company has stated that it intends to revise its earnings for 2000 through 2002.;566;20;30.01.2024 11:05;273;145839;;30.01.2024 11:05
Syntheticanalytic substitution;;7;Easy;otherchange;No;Structure-based Changes;12042;2;The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.;The group will be headed by John S. Wolf, an official of the State Department, who has served in Australia, Vietnam, Greece, and Pakistan.;423;17;25.01.2024 14:41;649;108671;;25.01.2024 14:48
Inflectional Changes;;10;Easy;Identical sentences;Yes;;5004;1;The company has said it plans to restate its earnings for 2000 through 2002.; The company has said it plans to restate its earnings for 2000 through 2002.;142;11;23.01.2024 16:49;275;56772;;23.01.2024 16:49
Inflectional Changes;;7;Easy;;Yes;;5010;0;Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.;Wal-Mart said it would check all of its million-plus domestic workers to ensure they are legally employed.;406;17;24.01.2024 20:23;276;59664;"[{""start"":85,""end"":88,""text"":""are"",""labels"":[""APT""]}]";25.01.2024 14:46
Inflectional Changes;Others;8;Hard;;Yes;;5011;3;Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.;Wal-Mart says it will check all of its domestic workers to ensure they are legally employed.;567;20;30.01.2024 11:09;277;63347;"[{""start"":17,""end"":21,""text"":""will"",""labels"":[""APT""]},{""start"":9,""end"":13,""text"":""says"",""labels"":[""APT""]}]";30.01.2024 11:09
Same Polarity Substitution (contextual);Structure-based Changes;9;Easy;;No;;8012;2;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The shares increased $2.11, or approximately 11 percent, and ended at $21.51 on the New York Stock Exchange on Friday.;632;21;30.01.2024 13:32;397;108603;"[{""start"":22,""end"":28,""text"":""shares"",""labels"":[""APT""]},{""start"":29,""end"":38,""text"":""increased"",""labels"":[""APT""]},{""start"":49,""end"":62,""text"":""approximately"",""labels"":[""APT""]}]";30.01.2024 13:32
Inflectional Changes;;10;Easy;;Yes;;5013;4;Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.;Wal-Mart said it is checking all of its million-plus domestic workers to ensure they were legally employed.;144;11;23.01.2024 16:52;279;141729;"[{""start"":17,""end"":28,""text"":""is checking"",""labels"":[""APT""]}]";23.01.2024 16:52
Inflectional Changes;;11;Easy;otherchange;Yes;Semantic-based Changes;5014;1;Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.; Wal-Mart said it would check all of its million-plus domestic workers to ensure they are legally employed.;486;10;27.01.2024 15:24;280;71761;;27.01.2024 15:24
Inflectional Changes;;8;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;5020;0;The songs are on offer for 99 cents each, or $9.99 for an album.; The songs are on offer for 99 cents each, or $9.99 for each album.;568;20;30.01.2024 11:11;281;8,6666E+15;;30.01.2024 11:19
Spelling changes;;1;Easy;Identical sentences;No;;10032;2;This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;303;9;24.01.2024 12:33;526;95568;;24.01.2024 13:01
Inflectional Changes;;10;Easy;;Yes;;5022;2;The songs are on offer for 99 cents each, or $9.99 for an album.;The songs are offered for 99 cents each, or $9.99 for an album.;145;11;23.01.2024 16:52;283;18221;"[{""start"":14,""end"":21,""text"":""offered"",""labels"":[""APT""]}]";23.01.2024 16:52
Inflectional Changes;;11;Hard;otherchange;Yes;Semantic-based Changes;5023;4;The songs are on offer for 99 cents each, or $9.99 for an album.;The songs were on offer for 99 cents each, or $9.99 for an album.;487;10;27.01.2024 15:25;284;28681;;27.01.2024 15:25
Inflectional Changes;;12;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;5024;1;The songs are on offer for 99 cents each, or $9.99 for an album.; The songs are being offered for 99 cents each, or $9.99 for an album.;524;19;29.01.2024 20:30;285;71925;;29.01.2024 20:30
Inflectional Changes;;1;Easy;otherchange;No;Morpho- and Lexicon-based Changes;5082;2;Elena Slough, considered to be the nation's oldest person and the third oldest person in the world, died early Sunday morning.;Elena Slough, considered as the nation's oldest person and the third eldest person in the world, passed away early Sunday morning.;63;9;22.01.2024 16:19;313;119481;;22.01.2024 16:19
Inflectional Changes;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Semantic-based Changes""]}";10;Hard;;Yes;;5031;3;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;However, PBL has said it will focus only on smaller purchases that are immediately earnings and cash flow accretive.;146;11;23.01.2024 16:54;287;116808;"[{""start"":67,""end"":70,""text"":""are"",""labels"":[""APT""]}]";23.01.2024 16:54
Change of order;;1;Hard;Other;No;;1032;2;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;He plans to have dinner with U.S. troops at Kosovo's military headquarters, Camp Bondsteel.;57;9;22.01.2024 16:07;169;191924;;24.01.2024 12:58
Inflectional Changes;;12;Easy;Nonsense;Yes;;5033;4;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;However, the talk were downplaying by PBL which said it would focus only on small purchases that were immediately earnings and cash flow accretive.;525;19;29.01.2024 20:31;289;52286;;29.01.2024 20:31
Inflectional Changes;;13;Easy;Identical sentences;Yes;;5034;1;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.; However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;164;12;23.01.2024 17:06;290;1,60502E+16;;23.01.2024 18:33
Inflectional Changes;;10;Easy;Identical sentences;Yes;;5040;0;This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.; This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;147;11;23.01.2024 16:55;291;26432;;23.01.2024 16:55
Inflectional Changes;;11;Easy;;Yes;;5041;3;This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;It integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C++, and Visual Basic .NET.;489;10;27.01.2024 15:28;292;22555;;27.01.2024 15:28
Inflectional Changes;;12;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;5042;2;This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;This integrates with Rational PurifyPlus and enables developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;526;19;29.01.2024 20:32;293;63595;;29.01.2024 20:32
Inflectional Changes;;13;Easy;;Yes;;5043;4;This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;This integrates with Rational PurifyPlus and is allowing developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;166;12;23.01.2024 17:07;294;78718;"[{""start"":45,""end"":56,""text"":""is allowing"",""labels"":[""APT""]}]";23.01.2024 17:07
Inflectional Changes;;14;Easy;Other;Yes;;5044;1;This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.; This integrates with Rational PurifyPlus and it also allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.;366;16;24.01.2024 15:54;295;88157;;24.01.2024 15:54
Inflectional Changes;;11;Easy;;Yes;;5050;0;The processors were announced in San Jose at the Intel Developer Forum.; The processors are announced in San Jose at the Intel Developer Forum.;490;10;27.01.2024 15:28;296;15937;;27.01.2024 15:28
Inflectional Changes;;12;Hard;Nonsense;Yes;;5051;3;The processors were announced in San Jose at the Intel Developer Forum.;The show was held March 3 to 7 in San Jose, Calif.;527;19;29.01.2024 20:33;297;3618;;29.01.2024 20:33
Inflectional Changes;;13;Easy;"{""choices"":[""otherchange"",""Nonsense""]}";Yes;Others;5052;2;The processors were announced in San Jose at the Intel Developer Forum.;The processors were announced in San Jose at the Intel Developer Forum, with the intention of changing inflectional affixes of words.;172;12;23.01.2024 17:11;298;209686;;23.01.2024 17:11
Inflectional Changes;;14;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;5053;4;The processors were announced in San Jose at the Intel Developer Forum.;The processors are announced in San Jose at the Intel Developer Forum.;367;16;24.01.2024 15:58;299;232325;;24.01.2024 15:58
Inflectional Changes;;15;Hard;Identical sentences;Yes;;5054;1;The processors were announced in San Jose at the Intel Developer Forum.; The processors were announced in San Jose at the Intel Developer Forum.;113;2;23.01.2024 14:47;300;40859;;23.01.2024 14:47
Inflectional Changes;;12;Easy;;Yes;;5060;0;It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.;It said the damage to the wing provides a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.;528;19;29.01.2024 20:34;301;41639;"[{""start"":31,""end"":39,""text"":""provides"",""labels"":[""APT""]}]";29.01.2024 20:34
Inflectional Changes;;13;Hard;otherchange;Yes;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Structure-based Changes"",""Semantic-based Changes"",""Others""]}";5061;3;It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.;The tank paneling was breached, which provided the pathway for hot gasses to penetrate Columbia's thermal armor during re-entry.;177;12;23.01.2024 17:17;302;349764;;23.01.2024 17:17
Inflectional Changes;;14;Easy;otherchange;No;Morpho- and Lexicon-based Changes;5062;2;It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.;It stated that the damage to the wing offered a route for hot gases to infiltrate the ship's thermal armor during Columbia's ill-fated reentry.;368;16;24.01.2024 16:00;303;38214;;24.01.2024 16:00
Inflectional Changes;;15;Easy;;Yes;;5063;4;It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.;It said the damage to the wing is providing a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.;114;2;23.01.2024 14:48;304;64296;"[{""start"":31,""end"":43,""text"":""is providing"",""labels"":[""APT""]}]";23.01.2024 14:48
Inflectional Changes;;1;Easy;otherchange;Yes;Others;5064;1;It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.; It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's reentry, which turned out to be ill-fated.;61;9;22.01.2024 16:15;305;109918;;24.01.2024 12:59
Inflectional Changes;;13;Easy;;Yes;;5070;0;Based on experience elsewhere, it could take up to two years before regular elections are held, he added.;Based on experience elsewhere, it could take up to two years before regular elections will be held, he added.;181;12;23.01.2024 17:19;306;12028;"[{""start"":86,""end"":93,""text"":""will be"",""labels"":[""APT""]}]";23.01.2024 17:19
Inflectional Changes;;14;Hard;otherchange;Yes;"{""choices"":[""Structure-based Changes"",""Others""]}";5071;3;Based on experience elsewhere, it could take up to two years before regular elections are held, he added.;Experience elsewhere shows that it can take up to two years before regular elections are held.;369;16;24.01.2024 16:01;307;50686;;24.01.2024 16:01
Syntheticanalytic substitution;;3;Easy;Other;No;;12002;2;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue dropped 15 percent from the same period a year earlier in the first quarter of the year.;466;18;26.01.2024 20:11;629;5667;;26.01.2024 20:11
